name,description
107年1月1日至107年1月7日資料.ods,107年1月1日至107年1月7日資料
107年1月8日至107年1月14日資料.ods,107年1月8日至107年1月14日資料
107年1月15日至107年1月21日資料.ods,107年1月15日至107年1月21日資料
107年1月22日至107年1月28日資料.ods,107年1月22日至107年1月28日資料
107年1月29日至107年2月4日資料.ods,107年1月29日至107年2月4日資料
107年2月5日至107年2月11日資料.ods,107年2月5日至107年2月11日資料
107年2月12日至107年2月18日無資料.ods,107年2月12日至107年2月18日無資料
107年2月19日至107年2月25日資料.ods,107年2月19日至107年2月25日資料
107年2月26日至107年3月4日資料.ods,107年2月26日至107年3月4日資料
107年3月5日至107年3月11日資料.ods,107年3月5日至107年3月11日資料
107年3月12日至107年3月18日資料.ods,107年3月12日至107年3月18日資料
107年3月19日至107年3月25日資料.ods,107年3月19日至107年3月25日資料
107年3月26日至107年4月1日資料.ods,107年3月26日至107年4月1日資料
107年4月2日至107年4月8日資料.ods,107年4月2日至107年4月8日資料
107年4月9日至107年4月15日資料.ods,107年4月9日至107年4月15日資料
107年4月16日至107年4月22日資料.ods,107年4月16日至107年4月22日資料
107年4月23日至107年4月29日資料.ods,107年4月23日至107年4月29日資料
107年4月30日至107年5月6日資料.ods,107年4月30日至107年5月6日資料
107年5月7日至107年5月13日資料.ods,107年5月7日至107年5月13日資料
107年5月14日至107年5月20日資料.ods,107年5月14日至107年5月20日資料
107年5月21日至107年5月27日資料.ods,107年5月21日至107年5月27日資料
107年5月28日至107年6月3日資料.ods,107年5月28日至107年6月3日資料
107年6月4日至107年6月10日資料.ods,107年6月4日至107年6月10日資料
107年6月11日至107年6月17日資料.ods,107年6月11日至107年6月17日資料
107年6月18日至107年6月24日資料.ods,107年6月18日至107年6月24日資料
107年6月25日至107年7月1日資料.ods,107年6月25日至107年7月1日資料
107年7月2日至107年7月8日資料.ods,107年7月2日至107年7月8日資料
107年7月9日至107年7月15日資料.ods,107年7月9日至107年7月15日資料
107年7月16日至107年7月22日資料.ods,107年7月16日至107年7月22日資料
107年7月23日至107年7月29日資料.ods,107年7月23日至107年7月29日資料
107年7月30日至107年8月5日資料.ods,107年7月30日至107年8月5日資料
107年8月6日至107年8月12日資料.ods,107年8月6日至107年8月12日資料
107年8月13日至107年8月19日資料.ods,107年8月13日至107年8月19日資料
107年8月20日至107年8月26日資料.ods,107年8月20日至107年8月26日資料
107年8月27日至107年9月2日資料.ods,107年8月27日至107年9月2日資料
107年9月3日至107年9月9日資料.ods,107年9月3日至107年9月9日資料
107年9月10日至107年9月16日資料.ods,107年9月10日至107年9月16日資料
107年9月17日至107年9月23日資料.ods,107年9月17日至107年9月23日資料
107年9月24日至107年9月30日資料.ods,107年9月24日至107年9月30日資料
107年10月1日至107年10月7日資料.ods,107年10月1日至107年10月7日資料
107年10月8日至107年10月14日資料.ods,107年10月8日至107年10月14日資料
107年10月15日至107年10月21日資料.ods,107年10月15日至107年10月21日資料
107年10月22日至107年10月28日資料.ods,107年10月22日至107年10月28日資料
107年10月29日至107年11月4日資料.ods,107年10月29日至107年11月4日資料
107年11月5日至107年11月11日資料.ods,107年11月5日至107年11月11日資料
107年11月12日至107年11月18日資料.ods,107年11月12日至107年11月18日資料
107年11月19日至107年11月25日資料.ods,107年11月19日至107年11月25日資料
107年11月26日至107年12月2日資料.ods,107年11月26日至107年12月2日資料
107年12月3日至107年12月9日資料.ods,107年12月3日至107年12月9日資料
107年12月10日至107年12月16日資料.ods,107年12月10日至107年12月16日資料
107年12月17日至107年12月23日資料.ods,107年12月17日至107年12月23日資料
107年12月24日至107年12月30日資料.ods,107年12月24日至107年12月30日資料
107年12月31日至108年1月6日資料.ods,107年12月31日至108年1月6日資料
108年1月7日至108年1月13日資料.ods,108年1月7日至108年1月13日資料
